family_id	family_label	representative_topics	topic_count	assignment_volume
1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record	Chad · Libya · Tragic · Kufra | Internally · Statistics · Quarter · Record	17	814
2	Locality · El · Marra · Jebel · Alburhan · Siege · Reception · Protest	Locality · El · Marra · Jebel | Alburhan · Siege · Reception · Protest	9	299
3	Egyptian · Deports · Public · Deport · Registered · Draft · Egyptian · Nationality	Egyptian · Deports · Public · Deport | Registered · Draft · Egyptian · Nationality	6	251
4	Army · Clashes · Kordofan · Battles · Governor · Urgent · Visit · Need	Army · Clashes · Kordofan · Battles | Governor · Urgent · Visit · Need	9	236
5	Expatriates · Kuwait · Violators · Hajj · Passports · Administration · General · Immigration	Expatriates · Kuwait · Violators · Hajj | Passports · Administration · General · Immigration	4	103
6	Diaspora · Freedom · Revolution · Arabs · Marginalization · Muhammad · Mahmoud · Issues	Diaspora · Freedom · Revolution · Arabs | Marginalization · Muhammad · Mahmoud · Issues	3	90
7	Watch · Video · Photo · Girl · Watch · Video · Famous · Dance	Watch · Video · Photo · Girl | Watch · Video · Famous · Dance	2	51
8	Immigrants · Biden · Immigration · Threatens · Immigration · Illegal · Economy · Immigrants	Immigrants · Biden · Immigration · Threatens | Immigration · Illegal · Economy · Immigrants	2	34
9	Painful · Confronting · Tragedy · Issues · Migration · Carrying · African · Season	Painful · Confronting · Tragedy · Issues | Migration · Carrying · African · Season	2	27
